CITY,COUNTRY,STATION NUMBER,LINES,TOTAL LENGTH
Cardiff,United Kingdom,81,0,169.0
Edinburgh,United Kingdom,0,0,0.0
Glasgow,United Kingdom,341,0,3032.0
Leeds,United Kingdom,0,0,0.0
Liverpool,United Kingdom,68,2,120.7
London,United Kingdom,1023,57,3599.2
Manchester,United Kingdom,98,0,229.0
Albuquerque,United States,11,1,156.0
Austin,United States,9,1,51.0
Boston,United States,141,12,641.0
Chicago,United States,262,12,925.0
Dallas,United States,35,4,174.14
Denver,United States,21,4,85.29
Los Angeles,United States,62,7,859.0
Miami,United States,18,1,114.1
Minneapolis,United States,6,1,64.0
Nashville,United States,6,1,51.5
New Haven,United States,22,2,194.5
New York,United States,408,28,3897.0
Orlando,United States,16,1,78.7
Philadelphia,United States,153,13,450.0
Portland,United States,5,1,23.7
Salt Lake City,United States,16,1,142.0
San Diego,United States,8,1,66.0
San Francisco,United States,54,3,307.6
Seattle,United States,9,2,132.0
Washington,United States,61,5,446.0
Montevideo,Uruguay,5,1,80.0
Caracas,Venezuela,4,1,41.4
